Team_Won,_Lane,_Champ,_Kills,_KDA,_Kills_5,_Kills_10,_Kills_15
False,jungle,Nasus,5,1.4,0,2,3
True,jungle,Nasus,6,1.4545454545454546,0,0,1
False,jungle,Nasus,12,4.5,0,0,1
False,jungle,Nasus,10,17.0,0,0,2
True,bot_lane,Mordekaiser,14,30.0,1,5,8
False,bot_lane,Zed,9,12.5,0,0,1
True,jungle,Nasus,6,4.333333333333333,0,0,1
False,jungle,Nasus,9,27.0,1,2,3
False,jungle,Nasus,12,12.5,0,1,5
True,jungle,Mordekaiser,7,3.5,1,4,5
True,jungle,Nasus,10,6.333333333333333,2,2,4
True,jungle,Nasus,8,3.0,0,2,5
False,jungle,Nasus,6,12.0,0,0,1
False,jungle,Nasus,5,2.25,1,3,3
False,jungle,Nasus,5,10.0,0,0,0
True,jungle,Nasus,9,18.0,0,0,2
False,jungle,Nasus,11,3.0,0,0,1
False,jungle,Zed,13,3.3333333333333335,0,4,5
False,jungle,Nasus,2,0.6666666666666666,0,0,0
True,jungle,Nasus,8,6.666666666666667,0,1,4
