Team_Won,_Lane,_Champ,_Kills,_KDA,_Kills_5,_Kills_10,_Kills_15
True,top_lane,Akshan,1,0.5,0,0,0
True,top_lane,Gnar,1,1.2,0,0,0
False,top_lane,Gnar,2,1.75,1,1,1
True,top_lane,Jayce,3,1.3333333333333333,0,1,1
True,top_lane,Jayce,4,1.4444444444444444,1,1,1
True,top_lane,Jayce,5,1.2,1,1,2
False,top_lane,Gnar,1,0.5714285714285714,0,1,1
False,top_lane,Gnar,8,13.0,0,1,2
True,top_lane,Jayce,11,4.5,0,1,4
True,top_lane,Renekton,7,4.25,1,4,6
False,top_lane,Gwen,1,2.3333333333333335,0,0,0
False,top_lane,Gragas,7,4.0,0,1,1
False,top_lane,Gnar,2,1.4,0,0,1
False,top_lane,Renekton,7,5.0,1,2,3
False,top_lane,Graves,7,9.5,0,1,3
True,top_lane,Gnar,2,4.0,1,1,2
False,top_lane,Gnar,5,3.8,1,2,3
False,top_lane,Gnar,4,7.0,0,2,3
False,top_lane,Gnar,1,2.6666666666666665,1,1,1
True,top_lane,Jayce,5,1.1428571428571428,1,1,1
