Team_Won,_Lane,_Champ,_Kills,_KDA,_Kills_5,_Kills_10,_Kills_15
False,top_lane,Tryndamere,10,3.4,0,1,2
False,top_lane,Garen,4,3.0,0,1,1
False,top_lane,Jax,4,1.5,1,1,1
False,top_lane,Yone,2,0.6,1,1,2
True,utility,Pyke,4,1.6,1,1,3
True,utility,Pyke,5,4.666666666666667,1,1,2
True,utility,Pyke,5,4.25,0,0,0
False,utility,Pyke,14,2.2222222222222223,2,3,4
False,utility,Pyke,5,6.0,0,2,3
True,utility,Pyke,14,2.5714285714285716,2,4,7
False,utility,Pyke,5,1.5714285714285714,0,0,1
False,utility,Pyke,12,8.0,3,3,7
True,utility,Pyke,7,2.2,0,0,3
False,utility,Pyke,1,0.7777777777777778,1,1,1
True,utility,Pyke,7,3.3333333333333335,1,2,4
False,utility,Pyke,6,4.0,0,2,3
True,utility,Kayn,2,1.1428571428571428,0,1,1
False,utility,Pyke,11,2.6666666666666665,0,1,3
False,utility,Yuumi,1,17.0,0,0,1
False,utility,Pyke,5,4.0,0,1,2
